,Measures,Single operand,Numerator,Denominator
24144,total listener hours _dayweekmonthyear_,['total listener hours _dayweekmonthyear_'],,
24145,turnover rate before and after the promotion,,,
24146,arms exports _constant us dollar_,,,
24147,arms imports _constant us dollar_,,,
24148,incremental gdp from the localization of defense systems industry,,,
24149,number of responders trained in emergency management,,,
24150,percentage of county emergency management coordinators trained to established standards,,['county emergency management coordinators trained'],['Total number of county emergency management coordinators']
24151,percentage of emergency management employees trained to established standards,,['emergency management employees trained'],['Total number of emergency management employees']
24152,percentage of five_year security strategy projects funded and initiated,,['five_year security strategy projects funded'],['Total number of five_year security strategy projects']
24153,percentage of funded public assistance projects are successfully complete,,['funded public assistance projects funded'],['Total number of funded public assistance projects']
24154,percentage of identified mitigation unmet needs projects that were funded,,['identified mitigation unmet needs projects identified'],['Total number of identified mitigation unmet needs projects']
24155,percentage of jurisdictions that have recovery plans that meet standards,,['jurisdictions meet'],['Total number of jurisdictions']
24156,percentage of jurisdictions that have response plans that meet standards,,['jurisdictions meet'],['Total number of jurisdictions']
24157,percentage of jurisdictions that have strategic plans that meet standards,,['jurisdictions meet'],['Total number of jurisdictions']
24158,percentage of jurisdictions with mitigation plans that meet standards of the federal disaster mitigation act,,['jurisdictions meet'],['Total number of jurisdictions']
24159,percentage of local governments that are sustainable for its citizens,,['local governments'],['Total number of its citizens']
24160,percentage of public safety answering points capable of receiving and providing wireless emergency calls,,['public safety answering points receiving'],['Total number of public safety answering points']
24161,percentage of state government that is sustainable for its citizens,,['state government'],['Total number of its citizens']
24162,percentage of wireless service customers with public safety answering points capable of receiving calls,,['wireless service customers receiving'],['Total number of wireless service customers']
24163,number of man days of utilization of training facilities,,,
24164,number of reportable security intrusions and appropriate actions,,,
24165,percentage of routine orders,,['routine orders'],"[""Total number of ['routine', 'orders']""]"
24166,amount of losses of physical security equipment and appropriate action,,,
24167,average cost of facility heating and cooling,,,
24168,percent localization of defense sector,,,
24169,percent national guard member and dependent processing,,,
24170,percentage of armories stationed for best utilization to improve readiness and best utilize resources,,['armories stationed'],['Total number of armories']
24171,percentage of members received mandatory pre_post_mobilization brief that facilitate entry onto active duty,,['members received'],['Total number of members']
24172,percentage of members successfully reintegrated into employment after release from active duty,,['members successfully'],['Total number of members']
24173,percentage of members that reintegration back into the civilian environment after release from active duty,,['members reintegration'],['Total number of members']
24174,percentage of national guard members utilizing educational assistance program,,['national guard members utilizing'],['Total number of national guard members']
24175,armed forces personnel,,,
24176,armed forces personnel_ percentage of labor force,,['_ percentage'],['Total number of labor force']
24177,military expenditure percentage of central government expenditure,,['central government'],"[""Total number of ['central', 'government', 'expenditure']""]"
24178,military expenditure percentage of gdp,,,
24179,military expenditure_ constant us dollar,,,
24180,military expenditure_ current us dollar,,,
24181,number of aircraft and other pieces of equipment restored,,,
24182,number of defense force volunteers for community support,,,
24183,percent fill of trained personnel with senior grade leadership form â€œready poolâ€ available,,,
24184,percentage of armories requiring major repairs and renovations _more than x$_,,['major repairs requiring'],['Total number of major repairs']
24185,percentage of fill of qualified and trained air patrol personnel,,['fill'],['Total number of qualified and trained air patrol personnel']
