,Measures,Single_operand,Numerator,Denominator
1953,average weekly tv viewing by tv channel,,[' weekly tv viewing by tv channel '],['average weekly tv viewing by tv channel ']
1954,average weeks to fill a position,,[' weeks to fill a position '],[' fill a position ']
1955,average weight of the product packaging,,[' weight of the product packaging '],[' the product packaging ']
1956,average weighted scc per cow,,[' weighted scc per cow '],[' cow ']
1957,average wind speed kmh,,[' wind speed kmh '],['average wind speed kmh ']
1958,average wind turbine productivity per month,,[' wind turbine productivity per month '],[' month ']
1959,average won deal size,,[' won deal size '],['average won deal size ']
1960,average word count in blog post,,[' word count in blog post '],[' blog post ']
1961,average word count of comments,,[' word count of comments '],[' comments ']
1962,average work time,,[' work time '],['average work time ']
1963,average workforce age,,[' workforce age '],['average workforce age ']
1964,average working age population,,[' working age population '],['average working age population ']
1965,average working hours of children study and work ages 7 14 hours per week,,[' working hours of children study and work ages 7 14 hours per week '],[' children study and work ages 7 14 hours per week ']
1966,average working hours of children study and work female ages 7 14 hours per week,,[' working hours of children study and work female ages 7 14 hours per week '],[' children study and work female ages 7 14 hours per week ']
1967,average working hours of children study and work male ages 7 14 hours per week,,[' working hours of children study and work male ages 7 14 hours per week '],[' children study and work male ages 7 14 hours per week ']
1968,average working hours of children working only ages 7 14 hours per week,,[' working hours of children working only ages 7 14 hours per week '],[' children working only ages 7 14 hours per week ']
1969,average working hours of children working only female ages 7 14 hours per week,,[' working hours of children working only female ages 7 14 hours per week '],[' children working only female ages 7 14 hours per week ']
1970,average working hours of children working only male ages 7 14 hours per week,,[' working hours of children working only male ages 7 14 hours per week '],[' children working only male ages 7 14 hours per week ']
1971,average world oil demand,,[' world oil demand '],['average world oil demand ']
1972,average world oil supply,,[' world oil supply '],['average world oil supply ']
1973,average wrap up time,,[' wrap up time '],['average wrap up time ']
1974,average wrap_up time,,[' wrap_up time '],['average wrap_up time ']
1975,average xho reach time,,[' xho reach time '],['average xho reach time ']
1976,average xho service delivery time,,[' xho service delivery time '],['average xho service delivery time ']
